Thu Mar 30 22:36:24 2023 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.06509, valid loss: 0.05357, precision: 0.9660, recall: 0.963436.
Thu Mar 30 22:43:23 2023 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.05809, valid loss: 0.05062, precision: 0.9612, recall: 0.968322.
Thu Mar 30 22:50:26 2023 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.05279, valid loss: 0.04730, precision: 0.9637, recall: 0.972685.
Thu Mar 30 22:57:25 2023 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.04948, valid loss: 0.04738, precision: 0.9718, recall: 0.965928.
Thu Mar 30 23:04:23 2023 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.04631, valid loss: 0.04621, precision: 0.9651, recall: 0.973663.
Thu Mar 30 23:11:24 2023 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.04323, valid loss: 0.04473, precision: 0.9670, recall: 0.975881.
Thu Mar 30 23:18:25 2023 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.04115, valid loss: 0.04525, precision: 0.9714, recall: 0.971512.
Thu Mar 30 23:25:23 2023 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.03868, valid loss: 0.04651, precision: 0.9669, recall: 0.973861.
Thu Mar 30 23:32:22 2023 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.03672, valid loss: 0.04626, precision: 0.9717, recall: 0.970034.
Thu Mar 30 23:39:21 2023 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.03570, valid loss: 0.04533, precision: 0.9713, recall: 0.971369.
Thu Mar 30 23:46:20 2023 Fold 2, Epoch 13, lr: 0.0002055, train loss: 0.03308, valid loss: 0.04529, precision: 0.9704, recall: 0.974328.
Thu Mar 30 23:53:21 2023 Fold 2, Epoch 14, lr: 0.0001901, train loss: 0.03188, valid loss: 0.04553, precision: 0.9692, recall: 0.977163.
