Tue Apr 11 18:30:09 2023 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.10032, valid loss: 0.06619, precision: 0.9432, recall: 0.957041.
Tue Apr 11 18:37:57 2023 Fold 1, Epoch 3, lr: 0.0002991, train loss: 0.07259, valid loss: 0.05759, precision: 0.9559, recall: 0.957168.
Tue Apr 11 18:45:46 2023 Fold 1, Epoch 4, lr: 0.0002965, train loss: 0.06463, valid loss: 0.05808, precision: 0.9586, recall: 0.955681.
Tue Apr 11 18:53:35 2023 Fold 1, Epoch 5, lr: 0.0002921, train loss: 0.05958, valid loss: 0.05276, precision: 0.9563, recall: 0.966199.
Tue Apr 11 19:01:24 2023 Fold 1, Epoch 6, lr: 0.0002861, train loss: 0.05664, valid loss: 0.05034, precision: 0.9634, recall: 0.960123.
Tue Apr 11 19:09:12 2023 Fold 1, Epoch 7, lr: 0.0002785, train loss: 0.05331, valid loss: 0.04977, precision: 0.9630, recall: 0.958281.
Tue Apr 11 19:17:03 2023 Fold 1, Epoch 8, lr: 0.0002694, train loss: 0.05048, valid loss: 0.04923, precision: 0.9635, recall: 0.964109.
Tue Apr 11 19:24:51 2023 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.04824, valid loss: 0.04808, precision: 0.9627, recall: 0.963463.
Tue Apr 11 19:32:41 2023 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.04659, valid loss: 0.04830, precision: 0.9666, recall: 0.961406.
Tue Apr 11 19:40:27 2023 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.04444, valid loss: 0.04837, precision: 0.9647, recall: 0.964650.
Tue Apr 11 19:48:18 2023 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.04333, valid loss: 0.04744, precision: 0.9642, recall: 0.965589.
Tue Apr 11 19:56:08 2023 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.04106, valid loss: 0.04811, precision: 0.9662, recall: 0.965663.
Tue Apr 11 20:03:57 2023 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.03961, valid loss: 0.04642, precision: 0.9694, recall: 0.963995.
Tue Apr 11 20:11:46 2023 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.03826, valid loss: 0.04608, precision: 0.9691, recall: 0.963764.
Tue Apr 11 20:19:33 2023 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.03719, valid loss: 0.04758, precision: 0.9619, recall: 0.969815.
Tue Apr 11 20:27:22 2023 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.03592, valid loss: 0.04551, precision: 0.9652, recall: 0.971279.
