Wed Mar 29 22:56:38 2023 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.02458, valid loss: 0.04184, precision: 0.9687, recall: 0.977567.
Wed Mar 29 23:07:36 2023 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.02273, valid loss: 0.04327, precision: 0.9684, recall: 0.977046.
Wed Mar 29 23:18:39 2023 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.02114, valid loss: 0.04209, precision: 0.9751, recall: 0.972325.
Wed Mar 29 23:29:35 2023 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.01950, valid loss: 0.04297, precision: 0.9717, recall: 0.977340.
Wed Mar 29 23:40:32 2023 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.01831, valid loss: 0.04482, precision: 0.9729, recall: 0.974945.
Wed Mar 29 23:51:28 2023 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.01706, valid loss: 0.04496, precision: 0.9746, recall: 0.976515.
Thu Mar 30 00:02:32 2023 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.01546, valid loss: 0.04568, precision: 0.9730, recall: 0.977477.
Thu Mar 30 00:13:32 2023 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.01467, valid loss: 0.04742, precision: 0.9712, recall: 0.978533.
Thu Mar 30 00:24:31 2023 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.01394, valid loss: 0.04570, precision: 0.9745, recall: 0.976248.
Thu Mar 30 00:35:36 2023 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.01287, valid loss: 0.04653, precision: 0.9739, recall: 0.976927.
Thu Mar 30 00:46:38 2023 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.01210, valid loss: 0.04735, precision: 0.9739, recall: 0.977731.
Thu Mar 30 00:57:39 2023 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.01191, valid loss: 0.04820, precision: 0.9761, recall: 0.976833.
Thu Mar 30 01:08:35 2023 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.01096, valid loss: 0.04859, precision: 0.9741, recall: 0.978045.
Thu Mar 30 01:19:36 2023 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.01075, valid loss: 0.04937, precision: 0.9757, recall: 0.977612.
Thu Mar 30 01:30:40 2023 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.01034, valid loss: 0.04920, precision: 0.9751, recall: 0.977966.
Thu Mar 30 01:41:37 2023 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.01020, valid loss: 0.04892, precision: 0.9763, recall: 0.977291.
Thu Mar 30 01:52:40 2023 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.01011, valid loss: 0.04929, precision: 0.9752, recall: 0.978291.
Thu Mar 30 02:03:40 2023 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.01000, valid loss: 0.04893, precision: 0.9746, recall: 0.978579.
Thu Mar 30 02:14:43 2023 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.21697, valid loss: 0.10326, precision: 0.9273, recall: 0.929481.
Thu Mar 30 02:25:52 2023 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.07483, valid loss: 0.05431, precision: 0.9588, recall: 0.966136.
Thu Mar 30 02:36:53 2023 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.05602, valid loss: 0.04878, precision: 0.9631, recall: 0.969740.
Thu Mar 30 02:47:58 2023 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.04929, valid loss: 0.04645, precision: 0.9676, recall: 0.968482.
Thu Mar 30 02:59:02 2023 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.04502, valid loss: 0.04562, precision: 0.9675, recall: 0.969996.
Thu Mar 30 03:09:58 2023 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.04097, valid loss: 0.04505, precision: 0.9692, recall: 0.972679.
Thu Mar 30 03:21:04 2023 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.03794, valid loss: 0.04349, precision: 0.9665, recall: 0.973432.
Thu Mar 30 03:32:11 2023 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.03537, valid loss: 0.04277, precision: 0.9666, recall: 0.976582.
Thu Mar 30 03:43:10 2023 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.03254, valid loss: 0.04137, precision: 0.9683, recall: 0.975053.
Thu Mar 30 03:54:19 2023 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.03038, valid loss: 0.04210, precision: 0.9726, recall: 0.971411.
Thu Mar 30 04:05:26 2023 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.02838, valid loss: 0.04210, precision: 0.9699, recall: 0.976412.
Thu Mar 30 04:16:35 2023 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.02616, valid loss: 0.04206, precision: 0.9690, recall: 0.979017.
Thu Mar 30 04:27:39 2023 Fold 2, Epoch 13, lr: 0.0002055, train loss: 0.02421, valid loss: 0.04254, precision: 0.9723, recall: 0.976250.
Thu Mar 30 04:38:41 2023 Fold 2, Epoch 14, lr: 0.0001901, train loss: 0.02270, valid loss: 0.04243, precision: 0.9706, recall: 0.976738.
Thu Mar 30 04:49:42 2023 Fold 2, Epoch 15, lr: 0.0001743, train loss: 0.02105, valid loss: 0.04396, precision: 0.9751, recall: 0.974787.
Thu Mar 30 05:00:47 2023 Fold 2, Epoch 16, lr: 0.0001581, train loss: 0.01971, valid loss: 0.04315, precision: 0.9718, recall: 0.977950.
Thu Mar 30 05:11:49 2023 Fold 2, Epoch 17, lr: 0.0001419, train loss: 0.01807, valid loss: 0.04378, precision: 0.9717, recall: 0.979445.
Thu Mar 30 05:22:47 2023 Fold 2, Epoch 18, lr: 0.0001257, train loss: 0.01690, valid loss: 0.04456, precision: 0.9764, recall: 0.974682.
Thu Mar 30 05:33:50 2023 Fold 2, Epoch 19, lr: 0.0001099, train loss: 0.01573, valid loss: 0.04440, precision: 0.9730, recall: 0.977283.
Thu Mar 30 05:45:00 2023 Fold 2, Epoch 20, lr: 0.0000945, train loss: 0.01470, valid loss: 0.04475, precision: 0.9771, recall: 0.975695.
Thu Mar 30 05:56:09 2023 Fold 2, Epoch 21, lr: 0.0000797, train loss: 0.01384, valid loss: 0.04622, precision: 0.9731, recall: 0.978942.
Thu Mar 30 06:07:19 2023 Fold 2, Epoch 22, lr: 0.0000658, train loss: 0.01309, valid loss: 0.04607, precision: 0.9748, recall: 0.977761.
Thu Mar 30 06:18:22 2023 Fold 2, Epoch 23, lr: 0.0000529, train loss: 0.01220, valid loss: 0.04644, precision: 0.9753, recall: 0.977596.
Thu Mar 30 06:29:23 2023 Fold 2, Epoch 24, lr: 0.0000411, train loss: 0.01146, valid loss: 0.04841, precision: 0.9745, recall: 0.978600.
Thu Mar 30 06:40:27 2023 Fold 2, Epoch 25, lr: 0.0000306, train loss: 0.01097, valid loss: 0.04863, precision: 0.9734, recall: 0.979741.
Thu Mar 30 06:51:31 2023 Fold 2, Epoch 26, lr: 0.0000215, train loss: 0.01063, valid loss: 0.04793, precision: 0.9756, recall: 0.978133.
Thu Mar 30 07:02:26 2023 Fold 2, Epoch 27, lr: 0.0000139, train loss: 0.01012, valid loss: 0.04981, precision: 0.9740, recall: 0.978379.
Thu Mar 30 07:13:23 2023 Fold 2, Epoch 28, lr: 0.0000079, train loss: 0.01013, valid loss: 0.04980, precision: 0.9747, recall: 0.979000.
Thu Mar 30 07:24:22 2023 Fold 2, Epoch 29, lr: 0.0000035, train loss: 0.00983, valid loss: 0.04922, precision: 0.9757, recall: 0.978552.
Thu Mar 30 07:35:21 2023 Fold 2, Epoch 30, lr: 0.0000009, train loss: 0.00966, valid loss: 0.04926, precision: 0.9748, recall: 0.979044.
Thu Mar 30 07:46:18 2023 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.21748, valid loss: 0.10622, precision: 0.9171, recall: 0.934011.
Thu Mar 30 07:57:14 2023 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.07584, valid loss: 0.05771, precision: 0.9543, recall: 0.968090.
Thu Mar 30 08:08:10 2023 Fold 3, Epoch 3, lr: 0.0002991, train loss: 0.05643, valid loss: 0.05036, precision: 0.9575, recall: 0.972739.
Thu Mar 30 08:19:09 2023 Fold 3, Epoch 4, lr: 0.0002965, train loss: 0.04955, valid loss: 0.04696, precision: 0.9590, recall: 0.974013.
Thu Mar 30 08:30:10 2023 Fold 3, Epoch 5, lr: 0.0002921, train loss: 0.04472, valid loss: 0.04499, precision: 0.9604, recall: 0.974869.
Thu Mar 30 08:41:04 2023 Fold 3, Epoch 6, lr: 0.0002861, train loss: 0.04109, valid loss: 0.04470, precision: 0.9578, recall: 0.978037.
Thu Mar 30 08:52:02 2023 Fold 3, Epoch 7, lr: 0.0002785, train loss: 0.03804, valid loss: 0.04301, precision: 0.9705, recall: 0.971775.
Thu Mar 30 09:03:40 2023 Fold 3, Epoch 8, lr: 0.0002694, train loss: 0.03543, valid loss: 0.04292, precision: 0.9612, recall: 0.978511.
Thu Mar 30 09:16:07 2023 Fold 3, Epoch 9, lr: 0.0002589, train loss: 0.03253, valid loss: 0.04244, precision: 0.9660, recall: 0.978295.
